training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,11390497.69,19071727.081,20914.2289473,21178.0,32,random_where
0.2,15937023.004,21979646.834,20929.4794123,21178.0,32,random_where
0.3,18633474.006,25675879.182,20873.1223223,21178.0,32,random_where
0.4,1514993.554,767071.723,20667.5454873,21178.0,64,random_where
0.5,1200216.394,602888.99,20666.2359523,21178.0,64,random_where
0.6,1156327.778,503602.317,20658.0689623,21178.0,64,random_where
0.7,822089.284,588013.174,20675.3026773,21178.0,64,random_where
0.8,1006447.146,2463449.842,20655.9851823,21178.0,64,random_where
0.9,195655.961,107819.46,20639.3814373,21178.0,64,random_where
0.1,8158299.17,13473649.499,20408.3466723,21178.0,64,east_west_where
0.2,20170744.467,19110067.375,20240.5456023,21178.0,64,east_west_where
0.3,43293715.078,39056205.688,20173.6125323,21178.0,64,east_west_where
0.4,1836297.981,710682.831,19388.8291023,21178.0,128,east_west_where
0.5,3925463.851,6572111.2,19313.5881773,21178.0,128,east_west_where
0.6,3182536.168,3005678.221,19245.0066523,21178.0,128,east_west_where
0.7,2320044.646,1761697.409,19241.4916723,21178.0,128,east_west_where
0.8,4109609.046,5739789.827,19173.3186973,21178.0,128,east_west_where
0.9,977091.311,1962687.659,19175.0967523,21178.0,128,east_west_where
0.1,146883171.177,13227215.628,21149.1722123,21178.0,64,exemplar_where
0.2,142351498.954,11818821.892,21160.2948173,21178.0,64,exemplar_where
0.3,132236320.902,9464063.041,21162.5930873,21178.0,64,exemplar_where
0.4,97777134.86,12361632.477,21137.8259573,21178.0,128,exemplar_where
0.5,86656253.539,4074935.626,21142.2978573,21178.0,128,exemplar_where
0.6,68105713.829,8511527.733,21143.2660623,21178.0,128,exemplar_where
0.7,53126724.974,3870175.851,21144.6488923,21178.0,128,exemplar_where
0.8,36569204.832,2343852.858,21147.3554423,21178.0,128,exemplar_where
0.9,17790328.171,2124835.674,21146.3421623,21178.0,128,exemplar_where
0.1,418055.464,64460.333,19144.7742223,21178.0,256,base_line
0.2,291399.103,12924.792,16849.3641623,21178.0,512,base_line
0.3,241371.115,10553.135,14782.7720823,21178.0,768,base_line
0.4,198308.786,7270.161,12683.0607623,21178.0,1024,base_line
0.5,157606.755,5664.052,10482.0641523,21178.0,1280,base_line
0.6,123507.315,5094.313,8419.30063231,21178.0,1536,base_line
0.7,88177.24,3716.99,6285.94557231,21178.0,1792,base_line
0.8,57114.63,2730.616,4168.72952231,21178.0,2049,base_line
0.9,27630.447,2223.185,2056.13750231,21178.0,2305,base_line
