training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,35547008.179,2347936.469,67121.373123,67585.0,32,random_where
0.2,31738556.684,2718903.442,67077.846443,67585.0,35,random_where
0.3,25447743.573,2183120.771,66656.989923,67585.0,64,random_where
0.4,22029701.348,1758156.211,66657.582708,67585.0,64,random_where
0.5,18574041.451,1336159.199,66657.241113,67585.0,64,random_where
0.6,15223564.193,1329356.012,66654.904713,67585.0,64,random_where
0.7,11202294.651,893391.32,66657.935443,67585.0,64,random_where
0.8,7342643.395,516206.445,66655.300253,67585.0,64,random_where
0.9,3414444.138,250593.209,65728.835678,67585.0,128,random_where
0.1,45098158.185,2989297.458,66654.379743,67585.0,64,east_west_where
0.2,43909740.019,2262658.092,66566.315958,67585.0,70,east_west_where
0.3,34089831.016,1273577.78,65722.602408,67585.0,128,east_west_where
0.4,31224314.961,1562215.602,65723.389768,67585.0,128,east_west_where
0.5,26716775.266,1271488.67,65721.660608,67585.0,128,east_west_where
0.6,22032084.324,1094018.829,65719.673458,67585.0,128,east_west_where
0.7,16837269.662,853647.491,65719.280678,67585.0,128,east_west_where
0.8,11556572.355,642420.172,65718.824823,67585.0,128,east_west_where
0.9,5117298.28,224771.947,63861.198888,67585.0,256,east_west_where
0.1,48944697.081,2301717.759,67158.332433,67585.0,64,exemplar_where
0.2,47892450.298,2029142.876,67121.744233,67585.0,70,exemplar_where
0.3,40812492.811,1244435.732,66734.744808,67585.0,128,exemplar_where
0.4,35840665.919,1196176.365,66738.089993,67585.0,128,exemplar_where
0.5,30608305.987,752721.038,66739.534888,67585.0,128,exemplar_where
0.6,24750683.352,844938.37,66741.281603,67585.0,128,exemplar_where
0.7,18932143.143,456492.914,66743.241063,67585.0,128,exemplar_where
0.8,12940400.975,294515.958,66744.338453,67585.0,128,exemplar_where
0.9,5879080.318,272704.271,65888.590408,67585.0,256,exemplar_where
0.1,27905245.864,885281.895,60813.924263,67585.0,466,base_line
0.2,23725790.644,584155.288,54060.274438,67585.0,931,base_line
0.3,20707940.059,612926.541,47315.936183,67585.0,1396,base_line
0.4,18045269.454,555046.243,40532.160878,67585.0,1862,base_line
0.5,15453552.974,386225.295,33785.579983,67585.0,2327,base_line
0.6,12635309.792,346841.263,27033.059528,67585.0,2792,base_line
0.7,9629406.526,232479.304,20261.759428,67585.0,3258,base_line
0.8,6631922.159,201591.164,13498.668708,67585.0,3723,base_line
0.9,3459289.917,148908.21,6756.76715798,67585.0,4188,base_line
