training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,511412365.0,129566563.831,524663.468945,531940.0,16,random_where
0.2,397076742.45,82030839.933,521311.191195,531940.0,23,random_where
0.3,279560269.45,69635342.066,517315.406645,531940.0,32,random_where
0.4,254746056.7,52566132.879,517141.438915,531940.0,32,random_where
0.5,184741594.8,47114364.235,517017.25119,531940.0,32,random_where
0.6,160087553.5,38375319.434,517017.404655,531940.0,32,random_where
0.7,110765247.55,24478042.244,516932.302925,531940.0,32,random_where
0.8,76411582.85,12907533.257,517280.147885,531940.0,32,random_where
0.9,18679769.15,5201528.809,502192.00285,531940.0,64,random_where
0.1,367119712.5,74357735.902,516757.51871,531940.0,32,east_west_where
0.2,265576140.95,46752975.475,510030.16763,531940.0,46,east_west_where
0.3,168314832.7,42347618.504,501290.43915,531940.0,64,east_west_where
0.4,162411463.95,46251043.534,501198.04686,531940.0,64,east_west_where
0.5,146566944.75,25734045.004,500945.924305,531940.0,64,east_west_where
0.6,114655048.2,29827797.857,500874.290825,531940.0,64,east_west_where
0.7,86956258.75,23780516.361,500637.494685,531940.0,64,east_west_where
0.8,69181954.2,13638207.204,500583.560075,531940.0,64,east_west_where
0.9,10448683.8,3519684.022,470653.880305,531940.0,128,east_west_where
0.1,774448839.3,292327440.475,526822.79052,531940.0,32,exemplar_where
0.2,644190707.8,227090106.127,524662.738215,531940.0,46,exemplar_where
0.3,505480560.2,100432612.932,521828.360335,531940.0,64,exemplar_where
0.4,440829074.1,83763457.546,522009.714405,531940.0,64,exemplar_where
0.5,414247704.75,72242770.686,522320.161885,531940.0,64,exemplar_where
0.6,346399321.7,69092236.608,522586.6167,531940.0,64,exemplar_where
0.7,288718875.55,97940346.081,522687.204495,531940.0,64,exemplar_where
0.8,186734340.25,39848195.556,522756.52164,531940.0,64,exemplar_where
0.9,59184627.7,11997588.278,511490.408775,531940.0,128,exemplar_where
0.1,64244081.75,17134086.274,478761.13503,531940.0,116,base_line
0.2,16515979.3,3255435.555,425890.272625,531940.0,231,base_line
0.3,7480055.05,1523415.149,372442.133295,531940.0,346,base_line
0.4,4299355.45,574259.123,320359.949805,531940.0,461,base_line
0.5,2594756.1,172480.451,265864.0549,531940.0,576,base_line
0.6,1882262.95,247611.597,212924.40925,531940.0,692,base_line
0.7,1101298.45,152378.221,158435.867825,531940.0,807,base_line
0.8,573679.0,72332.897,106041.1797,531940.0,922,base_line
0.9,240045.65,43169.123,53472.546205,531940.0,1037,base_line
