training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,107266346.917,21821564.001,238784.608542,242578.0,16,random_where
0.2,99583480.95,20586011.372,238792.928532,242578.0,16,random_where
0.3,59965282.6,9583778.966,234993.706097,242578.0,32,random_where
0.4,46270099.017,8240650.457,234997.414832,242578.0,32,random_where
0.5,44136926.383,9894767.997,234996.995442,242578.0,32,random_where
0.6,38296154.9,9396476.066,234968.652727,242578.0,32,random_where
0.7,26045373.967,7646005.934,235007.696467,242578.0,32,random_where
0.8,15481736.25,4079254.368,235011.600772,242578.0,32,random_where
0.9,8360734.233,2322891.58,234992.343522,242578.0,32,random_where
0.1,71549616.883,13165487.809,235020.761422,242578.0,32,east_west_where
0.2,84958925.0,13655126.514,235023.327127,242578.0,32,east_west_where
0.3,53431689.05,6895377.288,227439.082307,242578.0,64,east_west_where
0.4,45483488.483,5040023.774,227441.873487,242578.0,64,east_west_where
0.5,42041034.283,4644099.761,227445.557032,242578.0,64,east_west_where
0.6,34917068.233,4771887.497,227438.346897,242578.0,64,east_west_where
0.7,27425891.033,4163184.065,227446.822672,242578.0,64,east_west_where
0.8,19030246.533,1941270.722,227443.250972,242578.0,64,east_west_where
0.9,9828608.017,1391121.035,227447.413612,242578.0,64,east_west_where
0.1,121654769.983,14186441.45,239083.445747,242578.0,32,exemplar_where
0.2,135673386.883,21267682.337,239182.677557,242578.0,32,exemplar_where
0.3,92308871.3,11467837.836,235682.313777,242578.0,64,exemplar_where
0.4,78358765.883,11122744.857,235723.739862,242578.0,64,exemplar_where
0.5,71640921.667,11197606.543,235786.948637,242578.0,64,exemplar_where
0.6,58777683.6,8192367.688,235786.369227,242578.0,64,exemplar_where
0.7,45511518.633,6645012.587,235831.337557,242578.0,64,exemplar_where
0.8,31253175.6,4786211.409,235852.418227,242578.0,64,exemplar_where
0.9,16445309.65,2694281.751,235864.574997,242578.0,64,exemplar_where
0.1,44753325.683,6019260.922,218185.664662,242578.0,103,base_line
0.2,36309006.283,2757682.41,194013.473522,242578.0,205,base_line
0.3,30463326.7,2973748.875,169646.855082,242578.0,308,base_line
0.4,24311941.7,1727046.201,145402.423327,242578.0,410,base_line
0.5,19510638.617,1229057.261,121356.461942,242578.0,512,base_line
0.6,15176906.483,1088930.163,96873.2526067,242578.0,615,base_line
0.7,11248749.367,725440.636,72801.5738267,242578.0,717,base_line
0.8,7233004.067,693577.364,48327.8479667,242578.0,820,base_line
0.9,3630713.0,481132.443,24180.5091367,242578.0,922,base_line
