training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,502650000.0,178744760.762,262860.0,274110.0,8,random_where
0.2,444495000.0,190565617.242,262605.0,274110.0,8,random_where
0.3,231345000.0,80678488.304,251509.5,274110.0,16,random_where
0.4,180375000.0,38309762.137,251160.0,274110.0,16,random_where
0.5,171255000.0,68504543.462,251518.5,274110.0,16,random_where
0.6,178485000.0,87563749.777,251452.5,274110.0,16,random_where
0.7,99930000.0,32055375.524,251872.5,274110.0,16,random_where
0.8,70965000.0,31548173.877,251577.0,274110.0,16,random_where
0.9,31275000.0,12651635.27,251059.5,274110.0,16,random_where
0.1,299610000.0,84273898.094,250924.5,274110.0,16,east_west_where
0.2,231000000.0,39232843.384,250377.0,274110.0,16,east_west_where
0.3,160785000.0,21741096.453,228120.0,274110.0,32,east_west_where
0.4,139740000.0,18291046.99,227244.0,274110.0,32,east_west_where
0.5,118695000.0,25849535.296,226657.5,274110.0,32,east_west_where
0.6,98775000.0,14569896.19,226254.0,274110.0,32,east_west_where
0.7,79170000.0,14000682.126,226494.0,274110.0,32,east_west_where
0.8,50520000.0,16141115.203,225841.5,274110.0,32,east_west_where
0.9,26595000.0,5048809.266,225568.5,274110.0,32,east_west_where
0.1,570405000.0,163698492.586,264649.5,274110.0,16,exemplar_where
0.2,612075000.0,105156777.599,265621.5,274110.0,16,exemplar_where
0.3,366120000.0,116439596.358,256174.5,274110.0,32,exemplar_where
0.4,357870000.0,125272180.072,257191.5,274110.0,32,exemplar_where
0.5,310635000.0,86160735.112,257550.0,274110.0,32,exemplar_where
0.6,241590000.0,78070646.853,257593.5,274110.0,32,exemplar_where
0.7,226275000.0,57732182.316,258171.0,274110.0,32,exemplar_where
0.8,137940000.0,43847604.268,258268.5,274110.0,32,exemplar_where
0.9,65265000.0,17401674.488,258375.0,274110.0,32,exemplar_where
0.1,246720000.0,30401769.685,246072.0,274110.0,20,base_line
0.2,174255000.0,20632122.407,218419.5,274110.0,39,base_line
0.3,136395000.0,16690161.024,190980.0,274110.0,58,base_line
0.4,107715000.0,10319945.494,163186.5,274110.0,77,base_line
0.5,84030000.0,6546533.434,136471.5,274110.0,96,base_line
0.6,62925000.0,7960394.149,108835.5,274110.0,116,base_line
0.7,42180000.0,5706627.726,82339.5,274110.0,135,base_line
0.8,28995000.0,5421851.621,53836.5,274110.0,154,base_line
0.9,14610000.0,4945088.472,27285.0,274110.0,173,base_line
