training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,0.08,0.001,67158.125048,67585.0,32,exemplar_where
0.2,0.087,0.003,67122.593768,67585.0,35,exemplar_where
0.3,0.083,0.002,66733.576808,67585.0,64,exemplar_where
0.4,0.084,0.003,66735.975588,67585.0,64,exemplar_where
0.5,0.087,0.003,66738.419508,67585.0,64,exemplar_where
0.6,0.09,0.003,66742.447448,67585.0,64,exemplar_where
0.7,0.091,0.002,66743.056408,67585.0,64,exemplar_where
0.8,0.094,0.004,66745.144728,67585.0,64,exemplar_where
0.9,0.083,0.002,65890.363288,67585.0,128,exemplar_where
0.1,0.06,0.004,67120.102288,67585.0,32,random_where
0.2,0.06,0.004,67076.981428,67585.0,35,random_where
0.3,0.056,0.006,66657.201208,67585.0,64,random_where
0.4,0.056,0.002,66657.602528,67585.0,64,random_where
0.5,0.055,0.004,66655.559548,67585.0,64,random_where
0.6,0.053,0.003,66656.593548,67585.0,64,random_where
0.7,0.055,0.002,66655.365328,67585.0,64,random_where
0.8,0.057,0.003,66651.214168,67585.0,64,random_where
0.9,0.048,0.005,65726.325988,67585.0,128,random_where
0.1,0.047,0.001,60814.583388,67585.0,466,base_line
0.2,0.044,0.0,54054.694828,67585.0,931,base_line
0.3,0.044,0.001,47308.378448,67585.0,1396,base_line
0.4,0.045,0.001,40534.966848,67585.0,1862,base_line
0.5,0.046,0.001,33791.962448,67585.0,2327,base_line
0.6,0.046,0.001,27031.134488,67585.0,2792,base_line
0.7,0.048,0.001,20282.147888,67585.0,3258,base_line
0.8,0.049,0.001,13514.511568,67585.0,3723,base_line
0.9,0.051,0.001,6755.65508798,67585.0,4188,base_line
0.1,0.073,0.004,66654.682668,67585.0,64,east_west_where
0.2,0.08,0.007,66567.623268,67585.0,70,east_west_where
0.3,0.071,0.003,65720.928048,67585.0,128,east_west_where
0.4,0.078,0.003,65720.148888,67585.0,128,east_west_where
0.5,0.078,0.002,65719.086908,67585.0,128,east_west_where
0.6,0.079,0.002,65721.210368,67585.0,128,east_west_where
0.7,0.081,0.003,65718.990108,67585.0,128,east_west_where
0.8,0.083,0.003,65718.528828,67585.0,128,east_west_where
0.9,0.069,0.002,63860.596768,67585.0,256,east_west_where
