training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,0.17,0.073,20872.2616123,21178.0,32,random_where
0.2,0.686,0.966,20923.5610123,21178.0,32,random_where
0.3,0.162,0.062,20867.1925323,21178.0,32,random_where
0.4,0.093,0.068,20637.0978323,21178.0,64,random_where
0.5,0.1,0.058,20634.9447323,21178.0,64,random_where
0.6,0.068,0.023,20607.3471723,21178.0,64,random_where
0.7,0.077,0.047,20620.4437323,21178.0,64,random_where
0.8,0.057,0.039,20620.1276523,21178.0,64,random_where
0.9,0.072,0.022,20667.7624123,21178.0,64,random_where
0.1,0.007,0.001,19116.8505523,21178.0,256,base_line
0.2,0.005,0.0,16829.5451723,21178.0,512,base_line
0.3,0.005,0.0,14942.3001123,21178.0,768,base_line
0.4,0.004,0.0,12610.0347723,21178.0,1024,base_line
0.5,0.004,0.0,10677.9168923,21178.0,1280,base_line
0.6,0.004,0.0,8209.20671231,21178.0,1536,base_line
0.7,0.004,0.0,6281.50051231,21178.0,1792,base_line
0.8,0.003,0.0,4245.38455231,21178.0,2049,base_line
0.9,0.003,0.0,2067.68501231,21178.0,2305,base_line
0.1,0.378,0.076,21150.1690323,21178.0,32,exemplar_where
0.2,0.492,0.052,21161.4484323,21178.0,32,exemplar_where
0.3,0.554,0.056,21163.2344523,21178.0,32,exemplar_where
0.4,0.351,0.06,21136.9930323,21178.0,64,exemplar_where
0.5,0.418,0.025,21144.6710123,21178.0,64,exemplar_where
0.6,0.413,0.014,21142.9813123,21178.0,64,exemplar_where
0.7,0.444,0.038,21145.8455923,21178.0,64,exemplar_where
0.8,0.463,0.05,21146.3573323,21178.0,64,exemplar_where
0.9,0.435,0.022,21146.9903523,21178.0,64,exemplar_where
0.1,0.622,1.095,20382.0305123,21178.0,64,east_west_where
0.2,1.201,1.3,20290.7961923,21178.0,64,east_west_where
0.3,1.975,1.389,20185.3252123,21178.0,64,east_west_where
0.4,0.086,0.028,19300.2253323,21178.0,128,east_west_where
0.5,0.121,0.101,19301.0012723,21178.0,128,east_west_where
0.6,0.117,0.117,19297.5823723,21178.0,128,east_west_where
0.7,1.269,1.419,19194.6867723,21178.0,128,east_west_where
0.8,0.11,0.036,19165.0324523,21178.0,128,east_west_where
0.9,0.179,0.063,19136.9379723,21178.0,128,east_west_where
