training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,0.092,0.009,524625.5154,531940.0,16,random_where
0.2,0.078,0.01,521119.95736,531940.0,23,random_where
0.3,0.061,0.011,517714.31644,531940.0,32,random_where
0.4,0.066,0.005,517171.6575,531940.0,32,random_where
0.5,0.07,0.014,516976.54772,531940.0,32,random_where
0.6,0.061,0.005,516844.32916,531940.0,32,random_where
0.7,0.067,0.008,517161.25216,531940.0,32,random_where
0.8,0.077,0.021,516510.17254,531940.0,32,random_where
0.9,0.025,0.005,502519.34488,531940.0,64,random_where
0.1,0.015,0.005,479070.9782,531940.0,116,base_line
0.2,0.004,0.0,425238.47228,531940.0,231,base_line
0.3,0.002,0.0,371680.4911,531940.0,346,base_line
0.4,0.001,0.0,317985.77784,531940.0,461,base_line
0.5,0.001,0.0,267089.87392,531940.0,576,base_line
0.6,0.001,0.0,209775.94008,531940.0,692,base_line
0.7,0.001,0.0,159819.54186,531940.0,807,base_line
0.8,0.001,0.0,107037.11824,531940.0,922,base_line
0.9,0.0,0.0,52911.72894,531940.0,1037,base_line
0.1,0.16,0.065,526864.29174,531940.0,16,exemplar_where
0.2,0.12,0.027,524638.40208,531940.0,23,exemplar_where
0.3,0.118,0.013,521765.435,531940.0,32,exemplar_where
0.4,0.11,0.009,522104.92498,531940.0,32,exemplar_where
0.5,0.124,0.013,522493.25184,531940.0,32,exemplar_where
0.6,0.177,0.05,522883.75162,531940.0,32,exemplar_where
0.7,0.119,0.018,522605.4418,531940.0,32,exemplar_where
0.8,0.136,0.03,522823.08952,531940.0,32,exemplar_where
0.9,0.086,0.015,511623.78976,531940.0,64,exemplar_where
0.1,0.078,0.007,516707.67464,531940.0,32,east_west_where
0.2,0.064,0.006,510034.54354,531940.0,46,east_west_where
0.3,0.036,0.003,500896.94696,531940.0,64,east_west_where
0.4,0.044,0.007,501452.86554,531940.0,64,east_west_where
0.5,0.053,0.011,500973.03914,531940.0,64,east_west_where
0.6,0.054,0.003,501196.79992,531940.0,64,east_west_where
0.7,0.05,0.011,500812.61516,531940.0,64,east_west_where
0.8,0.06,0.01,500684.24472,531940.0,64,east_west_where
0.9,0.021,0.005,470954.23324,531940.0,128,east_west_where
