training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,0.217,0.075,262848.0,274110.0,8,random_where
0.2,0.16,0.095,261696.0,274110.0,8,random_where
0.3,0.092,0.009,250980.0,274110.0,16,random_where
0.4,0.099,0.024,252324.0,274110.0,16,random_where
0.5,0.12,0.077,250200.0,274110.0,16,random_where
0.6,0.103,0.019,250890.0,274110.0,16,random_where
0.7,0.086,0.011,251448.0,274110.0,16,random_where
0.8,0.128,0.039,250848.0,274110.0,16,random_where
0.9,0.125,0.068,250770.0,274110.0,16,random_where
0.1,0.117,0.01,245640.0,274110.0,20,base_line
0.2,0.074,0.008,218646.0,274110.0,39,base_line
0.3,0.072,0.009,191628.0,274110.0,58,base_line
0.4,0.064,0.004,161766.0,274110.0,77,base_line
0.5,0.062,0.003,134694.0,274110.0,96,base_line
0.6,0.058,0.006,105744.0,274110.0,116,base_line
0.7,0.065,0.006,81204.0,274110.0,135,base_line
0.8,0.047,0.005,52788.0,274110.0,154,base_line
0.9,0.043,0.013,27474.0,274110.0,173,base_line
0.1,0.211,0.023,264750.0,274110.0,8,exemplar_where
0.2,0.226,0.021,266082.0,274110.0,8,exemplar_where
0.3,0.152,0.052,256146.0,274110.0,16,exemplar_where
0.4,0.162,0.048,256752.0,274110.0,16,exemplar_where
0.5,0.154,0.057,257520.0,274110.0,16,exemplar_where
0.6,0.159,0.047,257442.0,274110.0,16,exemplar_where
0.7,0.191,0.037,258450.0,274110.0,16,exemplar_where
0.8,0.22,0.017,258234.0,274110.0,16,exemplar_where
0.9,0.243,0.042,258444.0,274110.0,16,exemplar_where
0.1,0.122,0.029,251430.0,274110.0,16,east_west_where
0.2,0.116,0.038,250758.0,274110.0,16,east_west_where
0.3,0.069,0.005,227070.0,274110.0,32,east_west_where
0.4,0.077,0.009,227214.0,274110.0,32,east_west_where
0.5,0.074,0.005,226932.0,274110.0,32,east_west_where
0.6,0.071,0.008,226980.0,274110.0,32,east_west_where
0.7,0.076,0.009,226926.0,274110.0,32,east_west_where
0.8,0.092,0.014,225792.0,274110.0,32,east_west_where
0.9,0.073,0.019,226164.0,274110.0,32,east_west_where
