training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,0.035,0.0,995098.0,1124212.0,18,base_line
0.2,0.02,0.0,899117.0,1124212.0,36,base_line
0.3,0.018,0.0,795218.0,1124212.0,55,base_line
0.4,0.016,0.0,713981.0,1124212.0,72,base_line
0.5,0.017,0.0,532499.0,1124212.0,90,base_line
0.6,0.02,0.0,407054.0,1124212.0,108,base_line
0.7,0.017,0.0,341578.0,1124212.0,126,base_line
0.8,0.02,0.0,232457.0,1124212.0,145,base_line
0.9,0.014,0.0,110451.0,1124212.0,163,base_line
0.1,0.308,0.0,1090748.0,1124212.0,16,exemplar_where
0.2,0.179,0.0,1094115.0,1124212.0,16,exemplar_where
0.3,0.23,0.0,1072545.0,1124212.0,30,exemplar_where
0.4,0.13,0.0,1060418.0,1124212.0,32,exemplar_where
0.5,0.135,0.0,1060766.0,1124212.0,32,exemplar_where
0.6,0.167,0.0,1063607.0,1124212.0,32,exemplar_where
0.7,0.133,0.0,1062637.0,1124212.0,32,exemplar_where
0.8,0.105,0.0,1066541.0,1124212.0,32,exemplar_where
0.9,0.08,0.0,1066156.0,1124212.0,32,exemplar_where
0.1,0.028,0.0,1020964.0,1124212.0,16,east_west_where
0.2,0.034,0.0,1011983.0,1124212.0,16,east_west_where
0.3,0.026,0.0,933433.0,1124212.0,30,east_west_where
0.4,0.024,0.0,919474.0,1124212.0,32,east_west_where
0.5,0.023,0.0,930469.0,1124212.0,32,east_west_where
0.6,0.028,0.0,932111.0,1124212.0,32,east_west_where
0.7,0.031,0.0,931810.0,1124212.0,32,east_west_where
0.8,0.021,0.0,917991.0,1124212.0,32,east_west_where
0.9,0.026,0.0,899516.0,1124212.0,32,east_west_where
0.1,0.798,0.0,1083239.0,1124212.0,8,random_where
0.2,0.449,0.0,1040978.0,1124212.0,8,random_where
0.3,0.033,0.0,1029399.0,1124212.0,15,random_where
0.4,0.637,0.0,1039692.0,1124212.0,16,random_where
0.5,0.033,0.0,1042409.0,1124212.0,16,random_where
0.6,0.028,0.0,1007321.0,1124212.0,16,random_where
0.7,0.028,0.0,1004975.0,1124212.0,16,random_where
0.8,0.033,0.0,1026071.0,1124212.0,16,random_where
0.9,0.026,0.0,1002161.0,1124212.0,16,random_where
