training_percent, mean, standard_deviation, saved_time, total_time, technique, evaluations 
0.1,0.054,0.008,238786.974607,242578.0,16,random_where
0.2,0.042,0.004,238725.491847,242578.0,16,random_where
0.3,0.033,0.009,235019.705087,242578.0,32,random_where
0.4,0.033,0.003,234964.653667,242578.0,32,random_where
0.5,0.029,0.006,235067.613647,242578.0,32,random_where
0.6,0.031,0.002,234988.579127,242578.0,32,random_where
0.7,0.034,0.007,235061.300587,242578.0,32,random_where
0.8,0.03,0.001,235013.867107,242578.0,32,random_where
0.9,0.033,0.005,234994.387087,242578.0,32,random_where
0.1,0.02,0.003,218205.462927,242578.0,103,base_line
0.2,0.019,0.001,193918.338547,242578.0,205,base_line
0.3,0.018,0.001,169534.611007,242578.0,308,base_line
0.4,0.016,0.002,145570.790967,242578.0,410,base_line
0.5,0.016,0.002,121421.779487,242578.0,512,base_line
0.6,0.016,0.001,96959.7965067,242578.0,615,base_line
0.7,0.015,0.0,72736.2897067,242578.0,717,base_line
0.8,0.015,0.001,48348.9910667,242578.0,820,base_line
0.9,0.014,0.002,24081.2950267,242578.0,922,base_line
0.1,0.057,0.01,239107.351907,242578.0,16,exemplar_where
0.2,0.06,0.008,239153.923287,242578.0,16,exemplar_where
0.3,0.047,0.008,235627.075767,242578.0,32,exemplar_where
0.4,0.052,0.006,235734.227067,242578.0,32,exemplar_where
0.5,0.053,0.003,235753.279087,242578.0,32,exemplar_where
0.6,0.063,0.014,235796.820407,242578.0,32,exemplar_where
0.7,0.058,0.008,235811.370367,242578.0,32,exemplar_where
0.8,0.06,0.01,235836.630347,242578.0,32,exemplar_where
0.9,0.066,0.012,235859.527787,242578.0,32,exemplar_where
0.1,0.035,0.005,235015.077707,242578.0,32,east_west_where
0.2,0.045,0.004,234967.360427,242578.0,32,east_west_where
0.3,0.029,0.004,227387.758067,242578.0,64,east_west_where
0.4,0.03,0.001,227447.027987,242578.0,64,east_west_where
0.5,0.035,0.006,227414.746927,242578.0,64,east_west_where
0.6,0.034,0.004,227445.836767,242578.0,64,east_west_where
0.7,0.035,0.008,227409.479927,242578.0,64,east_west_where
0.8,0.042,0.008,227410.474667,242578.0,64,east_west_where
0.9,0.04,0.004,227423.304027,242578.0,64,east_west_where
